,City,Population,Latitude,Longitude,Country
0,Ny-Ålesund,40.0,78.9333333,11.95,Svalbard and Jan Mayen
1,Longyearbyen,1232.0,78.2166667,15.633333300000002,Svalbard and Jan Mayen
2,Siorapaluk,75.0,77.7952778,-70.75583329999999,Greenland
3,Qeqertat,18.0,77.50972220000001,-66.6477778,Greenland
4,Dikson,1113.0,73.50694399999999,80.546389,Russian Federation
5,Khatanga,3205.0,71.966667,102.5,Russian Federation
6,Barrow,4336.0,71.2905556,-156.7886111,United States
7,Mehamn,733.0,71.033333,27.85,Norway
8,Havøysund,1149.0,71.000556,24.696111,Norway
9,Clyde River,1017.0,70.45,-68.56666700000001,Canada
10,Tuktoyaktuk,978.0,69.45,-133.066667,Canada
11,Kiruna,17806.0,67.85,20.216667,Sweden
12,Kemijärvi,9341.0,66.666667,27.416667,Finland
13,Rovaniemi,34781.0,66.5,25.716667,Finland
14,Raufarhöfn,226.0,66.45,-15.95,Iceland
15,Kópasker,144.0,66.3,-16.45,Iceland
16,Boden,18225.0,65.833333,21.7,Sweden
17,College,11413.0,64.8569444,-147.80277780000003,United States
18,Trøllanes,26.0,62.3666667,-6.7833333,Faroe Islands
19,Hattarvík,19.0,62.3333333,-6.25,Faroe Islands
20,Brae,622.0,60.38333299999999,-1.35,United Kingdom
21,Lerwick,6594.0,60.15,-1.15,United Kingdom
22,Loksa,3463.0,59.5763889,25.7213889,Estonia
23,Võsu,481.0,59.5725,25.9752778,Estonia
24,Rujiena,3638.0,57.9,25.3166667,Latvia
25,Mazsalaca,1701.0,57.8666667,25.05,Latvia
26,Skagen,9747.0,57.726972,10.589686,Denmark
27,Hirtshals,6653.0,57.588135,9.951498,Denmark
28,Zagare,2201.0,56.3591667,23.25,Lithuania
29,Naujoji Akmene,11923.0,56.3166667,22.9,Lithuania
30,Braslav,12378.0,55.6338889,27.0538889,Belarus
31,Disna,2738.0,55.5666667,28.2166667,Belarus
32,Carndonagh,1581.0,55.25,-7.2666667,Ireland
33,Moville,1402.0,55.1833333,-7.05,Ireland
34,Mamlyutka,9328.0,54.9375,68.53944399999999,Kazakhstan
35,Bulaevo,9886.0,54.905556,70.443889,Kazakhstan
36,Westerland,8927.0,54.9,8.3,Germany
37,Harrislee,11600.0,54.8,9.383333,Germany
38,Wladyslawowo,14889.0,54.791759,18.403942,Poland
39,Puck,11415.0,54.71854200000001,18.41085,Poland
40,Delfzijl,28473.0,53.332639,6.924231,Netherlands
41,Winsum,14355.0,53.32724,6.530143,Netherlands
42,Tahe,60874.0,52.333333,124.733333,China
43,Semenivka,9320.0,52.178273,32.581827000000004,Ukraine
44,Dobryanka,3250.0,52.063136,31.185669,Ukraine
45,Essen,16754.0,51.466667,4.466667,Belgium
46,Baarle-Hertog,2305.0,51.45,4.933333,Belgium
47,Dunkirk,71740.0,51.05,2.366667,France
48,Saint-Pol-sur-Mer,23205.0,51.03116,2.339835,France
49,Sluknov,5630.0,51.004656,14.453760999999998,Czechia
50,Jirikov,3901.0,50.993215,14.572155,Czechia
51,Genhe,73631.0,50.783333,121.516667,China
52,Sühbaatar,24238.0,50.2313889,106.2077778,Mongolia
53,Beiler,87.0,50.165555600000005,6.088888900000001,Luxembourg
54,Huldange,376.0,50.1647222,6.015,Luxembourg
55,Ulaangom,28091.0,49.966666700000005,92.0333333,Mongolia
56,Cadca,27281.0,49.4333333,18.7833333,Slovakia
57,Námestovo,8135.0,49.4,19.5,Slovakia
58,Heidenreichstein,4472.0,48.866667,15.116667,Austria
59,Schrems,5811.0,48.783333,15.066667,Austria
60,Gönc,2217.0,48.466667,21.283333,Hungary
61,Záhony,4807.0,48.409062,22.176139000000003,Hungary
62,Ocnita,10762.0,48.385278,27.439167,"Moldova, Republic of"
63,Briceni,10762.0,48.357222,27.703611,"Moldova, Republic of"
64,Paltinis,3302.0,48.216667,26.65,Romania
