,Country,All,Male,Female
0,Afghanistan,7.6,7.9,8.0
1,Albania,7.6,6.5,6.6
2,Algeria,5.9,5.7,5.6
3,Angola,30.0,29.8,29.0
4,Antigua and Barbuda,4.5,4.2,2.8
5,Argentina,16.0,17.6,17.2
6,Armenia,5.5,5.3,5.7
7,Australia,18.8,17.6,16.2
8,Austria,24.9,23.0,24.9
9,Azerbaijan,5.8,6.2,6.5
10,Bahamas,4.2,4.7,4.3
11,Bahrain,10.2,12.8,13.1
12,Bangladesh,10.0,9.3,8.7
13,Barbados,4.9,2.8,0.4
14,Belarus,69.3,71.5,71.9
15,Belgium,27.0,27.9,25.3
16,Belize,17.2,13.9,13.7
17,Benin,23.6,23.8,23.9
18,Bhutan,8.6,8.5,8.2
19,"Bolivia, Plurinational State Of",11.8,11.3,11.1
20,Bosnia and Herzegovina,13.3,13.7,14.0
21,Botswana,76.2,73.4,69.3
22,Brazil,7.4,8.1,7.6
23,Bulgaria,21.8,20.8,21.0
24,Burkina Faso,27.6,26.8,26.0
25,Burundi,35.5,32.2,30.3
26,Cambodia,9.2,9.1,9.0
27,Cameroon,29.8,30.3,30.0
28,Canada,16.6,16.8,16.3
29,Central African Republic,53.7,50.9,50.4
30,Chad,24.8,24.9,24.8
31,Chile,19.0,18.5,17.0
32,China,15.5,14.3,14.0
33,Colombia,8.4,8.4,7.7
34,Comoros,14.5,14.1,13.5
35,Congo,38.5,34.1,30.6
36,Costa Rica,12.3,9.8,12.7
37,Croatia,27.1,25.3,24.4
38,Cuba,22.7,20.3,18.9
39,Cyprus,2.6,2.8,2.8
40,Congo,24.9,24.5,24.2
41,Denmark,18.9,18.0,16.6
42,Djibouti,17.1,16.6,16.9
43,Dominican Republic,8.3,8.0,8.0
44,Ecuador,9.6,10.3,11.9
45,Egypt,4.7,4.8,4.8
46,El Salvador,10.6,11.7,9.3
47,Equatorial Guinea,31.0,27.9,24.7
48,Eritrea,38.4,36.7,35.9
49,Estonia,43.1,46.0,46.0
50,Eswatini,65.5,72.5,81.1
51,Ethiopia,25.9,24.5,23.7
52,Finland,33.3,33.6,29.7
53,France,24.2,23.4,23.5
54,Gabon,33.2,31.3,28.9
55,Gambia,15.3,15.6,15.8
56,Georgia,11.9,10.8,12.8
57,Germany,17.6,17.6,17.2
58,Ghana,17.2,18.6,19.5
59,Greece,4.6,4.4,3.7
60,Grenada,3.8,0.0,6.6
61,Guatemala,24.0,25.1,24.0
62,Guinea,13.7,13.8,14.4
63,Guinea-Bissau,28.7,28.2,27.4
64,Guyana,57.6,64.8,65.4
65,Haiti,14.7,14.3,13.9
66,Honduras,5.1,5.1,5.1
67,Hungary,44.7,40.5,38.8
68,Iceland,19.3,18.9,17.7
69,India,20.9,20.6,20.4
70,Indonesia,5.5,5.5,5.4
71,"Iran, Islamic Republic Of",10.1,9.6,9.2
72,Iraq,7.2,7.1,7.1
73,Ireland,19.8,20.8,18.8
74,Israel,11.0,10.6,9.1
75,Italy,8.7,8.6,8.7
76,Jamaica,3.3,3.2,3.1
77,Japan,26.8,25.9,26.7
78,Jordan,4.5,4.4,4.1
79,Kazakhstan,71.7,71.2,68.7
80,Kenya,24.8,23.1,22.1
81,Kiribati,62.6,61.9,60.6
82,Kuwait,4.1,3.5,3.8
83,Kyrgyzstan,30.7,28.8,27.9
84,Latvia,54.3,50.0,47.8
85,Lebanon,3.7,3.6,3.6
86,Lesotho,73.9,70.4,74.6
87,Liberia,11.0,10.4,10.2
88,Libya,7.1,7.4,7.7
89,Lithuania,80.7,75.7,78.0
90,Luxembourg,20.3,20.7,21.0
91,Madagascar,15.5,15.2,15.5
92,Malawi,31.8,30.0,28.1
93,Malaysia,9.1,8.7,8.6
94,Maldives,8.1,7.8,7.2
95,Mali,10.6,10.5,10.6
96,Malta,9.8,9.0,7.2
97,Mauritania,8.2,8.0,7.9
98,Mauritius,18.4,13.7,17.6
99,Mexico,6.9,7.2,7.2
100,Mongolia,37.6,38.3,37.2
101,Montenegro,28.9,26.8,27.0
102,Morocco,13.9,13.9,13.3
103,Mozambique,36.2,36.3,36.7
104,Myanmar,8.1,7.6,7.5
105,Namibia,47.5,46.4,45.7
106,Nepal,19.4,18.6,17.9
107,Netherlands,11.2,11.1,11.7
108,New Zealand,20.8,20.9,18.7
109,Nicaragua,9.3,9.5,9.3
110,Niger,12.6,13.0,12.9
111,Nigeria,13.7,13.9,13.6
112,North Macedonia,12.5,19.8,13.3
113,Norway,19.9,19.8,16.2
114,Oman,10.1,10.1,9.5
115,Pakistan,16.1,16.2,16.3
116,Panama,10.4,10.6,9.5
117,Papua New Guinea,4.4,4.6,4.5
118,Paraguay,4.8,4.6,4.4
119,Peru,4.6,4.3,4.4
120,Philippines,3.5,2.9,3.3
121,Poland,26.8,27.3,26.6
122,Portugal,9.5,11.0,15.7
123,Qatar,10.0,10.0,9.7
124,"Moldova, Republic Of",30.7,32.1,29.7
125,Romania,19.4,18.8,21.3
126,Russian Federation,88.8,85.5,83.6
127,Rwanda,38.8,34.7,31.1
128,Saint Lucia,14.5,14.7,13.5
129,Saint Vincent and the Grenadines,12.6,11.0,13.0
130,Samoa,24.1,23.9,23.4
131,Saudi Arabia,5.7,5.7,5.8
132,Senegal,23.5,22.8,22.5
133,Serbia,29.0,27.9,28.4
134,Seychelles,18.4,18.1,16.7
135,Sierra Leone,14.4,14.7,15.0
136,Singapore,15.2,13.6,13.8
137,Slovakia,21.9,21.8,23.3
138,Slovenia,40.4,41.5,38.7
139,Solomon Islands,32.0,31.5,31.8
140,Somalia,26.0,25.8,25.8
141,South Africa,42.7,43.2,44.3
142,Sudan,12.4,11.7,11.4
143,Spain,10.5,9.7,10.0
144,Sri Lanka,41.5,35.4,34.0
145,Sudan,7.2,7.1,7.2
146,Suriname,38.8,43.2,43.9
147,Sweden,17.1,18.1,18.5
148,Switzerland,23.7,22.2,22.9
149,Syrian Arab Republic,3.2,3.0,3.0
150,Tajikistan,7.3,6.8,6.6
151,Thailand,16.4,15.2,15.4
152,Togo,27.0,27.7,28.2
153,Tonga,6.7,6.7,6.7
154,Trinidad and Tobago,26.4,26.1,24.7
155,Tunisia,5.2,5.2,5.2
156,Turkey,6.7,6.2,5.4
157,Turkmenistan,23.7,25.1,25.5
158,Uganda,38.6,37.7,36.8
159,Ukraine,62.7,58.5,57.3
160,United Arab Emirates,9.3,9.2,8.6
161,United Kingdom,12.0,11.9,11.7
162,"Tanzania, United Republic Of",24.5,22.4,20.3
163,United States,16.4,16.9,17.3
164,Uruguay,25.7,21.8,30.1
165,Uzbekistan,19.6,18.9,18.0
166,Vanuatu,36.0,35.4,35.5
167,"Venezuela, Bolivarian Republic Of",11.3,11.5,10.7
168,Viet Nam,9.4,9.5,9.3
169,Yemen,10.5,10.4,10.2
170,Zambia,35.9,34.3,34.5
171,Zimbabwe,28.2,28.6,29.8
