"District","Month","lp_id","mean_access","mean_engagement","Product.Name","locale","pct_free.reduced","pp_total_raw"
1570,"January",10533,0.48,27.89,"Scholastic","Suburb","[0.2, 0.4[",""
1570,"January",10650,0.07,1.65,"Library of Congress","Suburb","[0.2, 0.4[",""
1570,"January",11206,0.1,1.71,"Google Earth","Suburb","[0.2, 0.4[",""
1570,"January",11286,0.07,1.14,"ABC News","Suburb","[0.2, 0.4[",""
1570,"January",11406,0.07,8.41,"WyzAnt","Suburb","[0.2, 0.4[",""
1570,"January",12803,0.08,0.92,"SlideShare","Suburb","[0.2, 0.4[",""
1570,"January",13117,0.52,21.72,"SplashLearn","Suburb","[0.2, 0.4[",""
1570,"January",13496,1.01,54.68,"Wikipedia","Suburb","[0.2, 0.4[",""
1570,"January",13699,0.11,3.74,"Weebly","Suburb","[0.2, 0.4[",""
1570,"January",14124,0.09,11.83,"Tumblr","Suburb","[0.2, 0.4[",""
1570,"January",14168,0.18,10.96,"Dictionary.com","Suburb","[0.2, 0.4[",""
1570,"January",14769,0.22,33.5,"Vocabulary Spelling City","Suburb","[0.2, 0.4[",""
1570,"January",15225,0.11,5.04,"Dictionary - Merriam-Webster","Suburb","[0.2, 0.4[",""
1570,"January",15254,0.73,123.88,"MIT App Inventor","Suburb","[0.2, 0.4[",""
1570,"January",16164,0.2,13.13,"nytimes.com","Suburb","[0.2, 0.4[",""
1570,"January",16401,0.09,3.5,"PBS","Suburb","[0.2, 0.4[",""
1570,"January",16406,0.18,82.76,"Google Translate","Suburb","[0.2, 0.4[",""
1570,"January",16468,0.08,0.81,"National Archives","Suburb","[0.2, 0.4[",""
1570,"January",16633,0.17,18.12,"CNN Student News","Suburb","[0.2, 0.4[",""
1570,"January",16753,0.07,1.65,"Flocabulary","Suburb","[0.2, 0.4[",""
1570,"January",17920,0.07,13.91,"Interland","Suburb","[0.2, 0.4[",""
1570,"January",17941,2.16,58.52,"Kids A-Z","Suburb","[0.2, 0.4[",""
1570,"January",18090,0.1,3.41,"Minecraft","Suburb","[0.2, 0.4[",""
1570,"January",18663,0.07,0.7,"AdaptedMind","Suburb","[0.2, 0.4[",""
1570,"January",18904,0.1,9.7,"Instructables","Suburb","[0.2, 0.4[",""
1570,"January",19044,0.19,12.06,"Flipgrid","Suburb","[0.2, 0.4[",""
1570,"January",19334,0.31,10.76,"Enchanted Learning","Suburb","[0.2, 0.4[",""
1570,"January",23483,0.07,1.08,"Purdue Online Writing Lab","Suburb","[0.2, 0.4[",""
1570,"January",24342,0.2,35.58,"AP Images Collection","Suburb","[0.2, 0.4[",""
1570,"January",24711,0.69,604.32,"Kahoot!","Suburb","[0.2, 0.4[",""
1570,"January",24744,0.21,18.22,"World Book Online","Suburb","[0.2, 0.4[",""
1570,"January",25793,0.09,21.54,"Wix","Suburb","[0.2, 0.4[",""
1570,"January",26407,0.21,20.6,"EdOptions Academy","Suburb","[0.2, 0.4[",""
1570,"January",26491,0.12,1.18,"Answers","Suburb","[0.2, 0.4[",""
1570,"January",26512,0.22,13.48,"Multiplication.com","Suburb","[0.2, 0.4[",""
1570,"January",26533,0.07,2.85,"Screencastify","Suburb","[0.2, 0.4[",""
1570,"January",26696,0.07,1.99,"SurveyMonkey","Suburb","[0.2, 0.4[",""
1570,"January",26753,0.1,1.3,"Vimeo","Suburb","[0.2, 0.4[",""
1570,"January",28504,0.39,26.34,"Google Sheets","Suburb","[0.2, 0.4[",""
1570,"January",28525,0.13,2.24,"Renaissance Learning","Suburb","[0.2, 0.4[",""
1570,"January",29158,0.07,3.67,"Storyworks","Suburb","[0.2, 0.4[",""
1570,"January",29286,0.07,0.73,"Socratic","Suburb","[0.2, 0.4[",""
1570,"January",29322,0.29,28.39,"Khan Academy","Suburb","[0.2, 0.4[",""
1570,"January",29921,0.07,0.9,"Learning A-Z","Suburb","[0.2, 0.4[",""
1570,"January",30851,0.1,2.41,"Google Chrome","Suburb","[0.2, 0.4[",""
1570,"January",31956,0.07,0.7,"AP Central","Suburb","[0.2, 0.4[",""
1570,"January",32213,5.72,452.63,"Google Classroom","Suburb","[0.2, 0.4[",""
1570,"January",32340,0.09,2.16,"Education Genius","Suburb","[0.2, 0.4[",""
1570,"January",33185,0.8,43.63,"Google Forms","Suburb","[0.2, 0.4[",""
1570,"January",33326,0.41,17.47,"Ducksters","Suburb","[0.2, 0.4[",""
1570,"January",33562,0.08,3.16,"IXL Language","Suburb","[0.2, 0.4[",""
1570,"January",33624,0.07,0.94,"HowStuffWorks","Suburb","[0.2, 0.4[",""
1570,"January",33946,0.07,0.74,"JSTOR","Suburb","[0.2, 0.4[",""
1570,"January",34887,0.79,266.46,"Naviance","Suburb","[0.2, 0.4[",""
1570,"January",35007,0.07,0.72,"Imagine Learning","Suburb","[0.2, 0.4[",""
1570,"January",35201,0.08,2.54,"Symbolab","Suburb","[0.2, 0.4[",""
1570,"January",35971,0.12,2.51,"Edpuzzle","Suburb","[0.2, 0.4[",""
1570,"January",36102,0.08,3.39,"Little Alchemy","Suburb","[0.2, 0.4[",""
1570,"January",36620,0.09,6.84,"Disney+","Suburb","[0.2, 0.4[",""
1570,"January",36692,0.51,43.75,"Epic! - Unlimited Books for Kids","Suburb","[0.2, 0.4[",""
1570,"January",37017,0.07,1.19,"Pixlr","Suburb","[0.2, 0.4[",""
1570,"January",37153,0.81,71.41,"Zearn","Suburb","[0.2, 0.4[",""
1570,"January",37373,0.15,1.47,"Pear Deck for Google Slides","Suburb","[0.2, 0.4[",""
1570,"January",37479,0.07,4.26,"Frontline Education","Suburb","[0.2, 0.4[",""
1570,"January",38871,0.08,0.75,"Google Workspace","Suburb","[0.2, 0.4[",""
1570,"January",39004,0.12,16.4,"TumbleBooks","Suburb","[0.2, 0.4[",""
1570,"January",40928,0.24,9.01,"Pear Deck","Suburb","[0.2, 0.4[",""
1570,"January",41424,0.07,9.67,"Common App","Suburb","[0.2, 0.4[",""
1570,"January",41581,0.4,44.33,"Tynker","Suburb","[0.2, 0.4[",""
1570,"January",41587,0.07,1.25,"LinkedIn","Suburb","[0.2, 0.4[",""
1570,"January",42410,0.49,43.97,"Conjuguemos","Suburb","[0.2, 0.4[",""
1570,"January",43491,0.23,106.37,"Duolingo","Suburb","[0.2, 0.4[",""
1570,"January",45005,0.07,1.7,"GitHub","Suburb","[0.2, 0.4[",""
1570,"January",45811,0.1,1.66,"Google Science Journal","Suburb","[0.2, 0.4[",""
1570,"January",46123,0.17,4.34,"College Board","Suburb","[0.2, 0.4[",""
1570,"January",47261,0.07,9.22,"Funbrain","Suburb","[0.2, 0.4[",""
1570,"January",47364,0.22,52.42,"Canvas","Suburb","[0.2, 0.4[",""
1570,"January",48625,0.07,0.7,"CultureGrams","Suburb","[0.2, 0.4[",""
1570,"January",49050,0.08,0.78,"Freckle by Renaissance","Suburb","[0.2, 0.4[",""
1570,"January",49062,0.08,0.72,"Quia Web","Suburb","[0.2, 0.4[",""
1570,"January",49094,0.08,0.75,"SchoolTube","Suburb","[0.2, 0.4[",""
1570,"January",49563,0.18,32.66,"Book Creator","Suburb","[0.2, 0.4[",""
1570,"January",49570,0.08,0.73,"Ptable","Suburb","[0.2, 0.4[",""
1570,"January",49571,0.1,2.32,"Education.com","Suburb","[0.2, 0.4[",""
1570,"January",49687,0.07,0.71,"Snapchat","Suburb","[0.2, 0.4[",""
1570,"January",49751,0.24,18.28,"SparkNotes","Suburb","[0.2, 0.4[",""
1570,"January",50104,0.08,1.84,"Chegg","Suburb","[0.2, 0.4[",""
1570,"January",50168,0.07,1.4,"Houghton Mifflin Harcourt","Suburb","[0.2, 0.4[",""
1570,"January",50282,0.14,4.17,"SafeShare","Suburb","[0.2, 0.4[",""
1570,"January",50479,1.8,193.56,"ABCya!","Suburb","[0.2, 0.4[",""
1570,"January",50712,0.07,1.44,"Earthquakes for Kids","Suburb","[0.2, 0.4[",""
1570,"January",51288,0.07,1.75,"Eventbrite","Suburb","[0.2, 0.4[",""
1570,"January",51340,0.18,6.98,"Grammarly","Suburb","[0.2, 0.4[",""
1570,"January",51853,0.07,2.13,"PBS Kids","Suburb","[0.2, 0.4[",""
1570,"January",52175,0.19,4.52,"The Washington Post KidsPost","Suburb","[0.2, 0.4[",""
1570,"January",52196,0.61,41.39,"BrainPOP Jr.","Suburb","[0.2, 0.4[",""
1570,"January",52758,0.07,0.98,"Adobe Character Animator","Suburb","[0.2, 0.4[",""
1570,"January",53399,0.07,9.55,"Adobe Spark Page","Suburb","[0.2, 0.4[",""
1570,"January",53775,0.15,2.97,"Google Play Music","Suburb","[0.2, 0.4[",""
1570,"January",54430,0.3,15.52,"Encyclopedia Britannica","Suburb","[0.2, 0.4[",""
1570,"January",54827,0.1,2.71,"SoundCloud","Suburb","[0.2, 0.4[",""
1570,"January",55032,0.08,7.47,"ASCD Professional Development Tools","Suburb","[0.2, 0.4[",""
1570,"January",55355,0.09,1.16,"ReadWriteThink","Suburb","[0.2, 0.4[",""
1570,"January",55589,0.27,13.34,"BrainPOP","Suburb","[0.2, 0.4[",""
1570,"January",56028,0.1,3.14,"Shmoop","Suburb","[0.2, 0.4[",""
1570,"January",56218,7.4,205.79,"School Loop","Suburb","[0.2, 0.4[",""
1570,"January",57084,0.37,10.69,"CoolMath Games","Suburb","[0.2, 0.4[",""
1570,"January",57293,0.07,0.7,"Penn State World Campus","Suburb","[0.2, 0.4[",""
1570,"January",57724,0.07,4.97,"EasyBib","Suburb","[0.2, 0.4[",""
1570,"January",57949,0.07,1.91,"Mathway","Suburb","[0.2, 0.4[",""
1570,"January",58235,0.14,29.21,"TedEd","Suburb","[0.2, 0.4[",""
1570,"January",60051,0.21,18.54,"Big Ideas Math","Suburb","[0.2, 0.4[",""
1570,"January",60825,0.11,1.66,"Study.com","Suburb","[0.2, 0.4[",""
1570,"January",61384,0.08,1.61,"XtraMath","Suburb","[0.2, 0.4[",""
1570,"January",61517,0.32,26.91,"¡Avancemos!","Suburb","[0.2, 0.4[",""
1570,"January",62934,0.13,23.9,"NoRedInk","Suburb","[0.2, 0.4[",""
1570,"January",63335,0.07,1.46,"Math Games (MathGames)","Suburb","[0.2, 0.4[",""
1570,"January",64838,1.19,206.54,"Starfall","Suburb","[0.2, 0.4[",""
1570,"January",64947,0.35,22.92,"Desmos","Suburb","[0.2, 0.4[",""
1570,"January",64948,1.02,44.94,"Prodigy","Suburb","[0.2, 0.4[",""
1570,"January",65277,0.14,4.94,"TeachersPayTeachers","Suburb","[0.2, 0.4[",""
1570,"January",65358,0.66,32.07,"Prezi","Suburb","[0.2, 0.4[",""
1570,"January",67035,0.19,3.71,"CommonLit","Suburb","[0.2, 0.4[",""
1570,"January",67431,0.07,3.55,"Autodesk","Suburb","[0.2, 0.4[",""
1570,"January",68019,0.07,0.7,"ConnectED","Suburb","[0.2, 0.4[",""
1570,"January",68490,0.09,1.11,"Wikimedia Commons","Suburb","[0.2, 0.4[",""
1570,"January",69429,0.11,3.12,"WordPress","Suburb","[0.2, 0.4[",""
1570,"January",69827,0.7,29.72,"Google Sites","Suburb","[0.2, 0.4[",""
1570,"January",69863,0.48,26.79,"Chrome Web Store","Suburb","[0.2, 0.4[",""
1570,"January",70167,0.07,5.03,"Microsoft XNA Game Studio","Suburb","[0.2, 0.4[",""
1570,"January",71805,0.22,4.79,"Scratch","Suburb","[0.2, 0.4[",""
1570,"January",72713,0.08,4.79,"Google Books","Suburb","[0.2, 0.4[",""
1570,"January",72758,0.11,3.35,"Google Calendar","Suburb","[0.2, 0.4[",""
1570,"January",73101,0.13,5.85,"Padlet","Suburb","[0.2, 0.4[",""
1570,"January",73323,0.13,2.72,"Turnitin","Suburb","[0.2, 0.4[",""
1570,"January",73952,0.07,2.8,"McGraw-Hill Education","Suburb","[0.2, 0.4[",""
1570,"January",74653,0.98,176.56,"Studies Weekly","Suburb","[0.2, 0.4[",""
1570,"January",76122,0.08,2.38,"Canva","Suburb","[0.2, 0.4[",""
1570,"January",76214,0.43,38.42,"Quizizz","Suburb","[0.2, 0.4[",""
1570,"January",76649,4,185,"Clever","Suburb","[0.2, 0.4[",""
1570,"January",76661,0.27,14.27,"WWF ~ World Wildlife Fund","Suburb","[0.2, 0.4[",""
1570,"January",77430,0.07,0.71,"Instructure","Suburb","[0.2, 0.4[",""
1570,"January",77698,0.11,2.17,"Goodreads","Suburb","[0.2, 0.4[",""
1570,"January",78586,0.07,2.81,"ThingLink","Suburb","[0.2, 0.4[",""
1570,"January",78730,0.09,13.24,"MaxPreps: Connecticut","Suburb","[0.2, 0.4[",""
1570,"January",78818,0.16,8.22,"eNotes","Suburb","[0.2, 0.4[",""
1570,"January",79578,0.23,6.4,"Flippity","Suburb","[0.2, 0.4[",""
1570,"January",79652,0.07,0.72,"iStock","Suburb","[0.2, 0.4[",""
1570,"January",79673,0.07,3.54,"Zendesk","Suburb","[0.2, 0.4[",""
1570,"January",80144,0.14,3.02,"Quora","Suburb","[0.2, 0.4[",""
1570,"January",80560,0.21,29.05,"Nitro Type","Suburb","[0.2, 0.4[",""
1570,"January",80616,0.07,8.14,"IXL Math","Suburb","[0.2, 0.4[",""
1570,"January",81127,0.07,0.7,"NASA's Space Place","Suburb","[0.2, 0.4[",""
1570,"January",81236,0.07,1.41,"Box","Suburb","[0.2, 0.4[",""
1570,"January",81654,0.09,1.41,"Tinkercad","Suburb","[0.2, 0.4[",""
1570,"January",83270,0.17,14.74,"Google Arts & Culture","Suburb","[0.2, 0.4[",""
1570,"January",83394,0.08,2.42,"Yelp","Suburb","[0.2, 0.4[",""
1570,"January",83862,0.62,10.18,"Raz-Kids","Suburb","[0.2, 0.4[",""
1570,"January",84007,0.07,0.7,"Reading A-Z","Suburb","[0.2, 0.4[",""
1570,"January",84217,0.08,3,"KQED E-books","Suburb","[0.2, 0.4[",""
1570,"January",85682,0.15,3.69,"Qualtrics","Suburb","[0.2, 0.4[",""
1570,"January",85975,0.7,57.73,"Code.org","Suburb","[0.2, 0.4[",""
1570,"January",86059,0.22,17.68,"Thesaurus.com","Suburb","[0.2, 0.4[",""
1570,"January",86294,0.13,11.14,"Kiddle","Suburb","[0.2, 0.4[",""
1570,"January",86575,0.32,8.36,"PBS LearningMedia","Suburb","[0.2, 0.4[",""
1570,"January",86703,0.07,0.73,"GoNoodle","Suburb","[0.2, 0.4[",""
1570,"January",86775,0.11,5.57,"WordReference.com","Suburb","[0.2, 0.4[",""
1570,"January",87342,0.09,9.7,"LitCharts","Suburb","[0.2, 0.4[",""
1570,"January",87762,0.08,2.64,"Grammarly for Chrome","Suburb","[0.2, 0.4[",""
1570,"January",88885,0.09,1.61,"Lumen Learning","Suburb","[0.2, 0.4[",""
1570,"January",88925,0.4,8.09,"Google Expeditions","Suburb","[0.2, 0.4[",""
1570,"January",89267,0.07,0.7,"Wiley","Suburb","[0.2, 0.4[",""
1570,"January",89688,0.15,29.44,"Teach TCI","Suburb","[0.2, 0.4[",""
1570,"January",89802,0.08,7.72,"Bartleby","Suburb","[0.2, 0.4[",""
1570,"January",90153,0.14,8.64,"Netflix","Suburb","[0.2, 0.4[",""
1570,"January",90440,0.11,17.46,"PebbleGo","Suburb","[0.2, 0.4[",""
1570,"January",91030,0.07,2.64,"Brainly","Suburb","[0.2, 0.4[",""
1570,"January",91165,0.07,12.07,"MobyMax","Suburb","[0.2, 0.4[",""
1570,"January",91873,0.07,8.75,"Breakout EDU","Suburb","[0.2, 0.4[",""
1570,"January",92867,0.12,3.04,"Math Playground","Suburb","[0.2, 0.4[",""
1570,"January",92894,0.07,1.74,"MarketWatch","Suburb","[0.2, 0.4[",""
1570,"January",92918,0.1,3.91,"College Compass","Suburb","[0.2, 0.4[",""
1570,"January",93256,0.07,0.72,"Scitable","Suburb","[0.2, 0.4[",""
1570,"January",93742,1.26,167.28,"TypingClub","Suburb","[0.2, 0.4[",""
1570,"January",94058,0.09,3.34,"Course Hero","Suburb","[0.2, 0.4[",""
1570,"January",94158,0.07,1.45,"CoolMath","Suburb","[0.2, 0.4[",""
1570,"January",94324,0.1,1.77,"WeVideo for Schools","Suburb","[0.2, 0.4[",""
1570,"January",95731,4.44,531.98,"Google Docs","Suburb","[0.2, 0.4[",""
1570,"January",95859,0.07,2.09,"Remind","Suburb","[0.2, 0.4[",""
1570,"January",96116,0.12,7.66,"CliffsNotes","Suburb","[0.2, 0.4[",""
1570,"January",96706,0.07,6.73,"MindTap","Suburb","[0.2, 0.4[",""
1570,"January",97209,0.15,3.16,"Adobe Spark","Suburb","[0.2, 0.4[",""
1570,"January",97280,0.17,31.75,"Newsela","Suburb","[0.2, 0.4[",""
1570,"January",98001,0.07,47.51,"Dropbox","Suburb","[0.2, 0.4[",""
1570,"January",98265,0.7,43.71,"Quizlet","Suburb","[0.2, 0.4[",""
1570,"January",99916,4.71,173.94,"Google Drive","Suburb","[0.2, 0.4[",""
1570,"February",10533,0.38,32.38,"Scholastic","Suburb","[0.2, 0.4[",""
1570,"February",10650,0.12,4.14,"Library of Congress","Suburb","[0.2, 0.4[",""
1570,"February",11206,0.07,1.72,"Google Earth","Suburb","[0.2, 0.4[",""
1570,"February",11286,0.07,9.28,"ABC News","Suburb","[0.2, 0.4[",""
1570,"February",11406,0.07,2.06,"WyzAnt","Suburb","[0.2, 0.4[",""
1570,"February",11910,0.07,1.37,"Pew Research Center","Suburb","[0.2, 0.4[",""
1570,"February",12803,0.07,2.74,"SlideShare","Suburb","[0.2, 0.4[",""
1570,"February",13117,0.11,1.38,"SplashLearn","Suburb","[0.2, 0.4[",""
1570,"February",13496,0.66,39.21,"Wikipedia","Suburb","[0.2, 0.4[",""
1570,"February",13699,0.17,8.75,"Weebly","Suburb","[0.2, 0.4[",""
1570,"February",14124,0.1,7.73,"Tumblr","Suburb","[0.2, 0.4[",""
1570,"February",14168,0.19,12.41,"Dictionary.com","Suburb","[0.2, 0.4[",""
1570,"February",14769,0.29,35.74,"Vocabulary Spelling City","Suburb","[0.2, 0.4[",""
1570,"February",15225,0.12,9.58,"Dictionary - Merriam-Webster","Suburb","[0.2, 0.4[",""
1570,"February",15254,0.68,118,"MIT App Inventor","Suburb","[0.2, 0.4[",""
1570,"February",16164,0.25,26.7,"nytimes.com","Suburb","[0.2, 0.4[",""
1570,"February",16401,0.09,9.95,"PBS","Suburb","[0.2, 0.4[",""
1570,"February",16406,0.14,64.72,"Google Translate","Suburb","[0.2, 0.4[",""
1570,"February",16468,0.07,2.33,"National Archives","Suburb","[0.2, 0.4[",""
1570,"February",16633,0.17,19.84,"CNN Student News","Suburb","[0.2, 0.4[",""
1570,"February",16753,0.07,4.17,"Flocabulary","Suburb","[0.2, 0.4[",""
1570,"February",17920,0.17,13.31,"Interland","Suburb","[0.2, 0.4[",""
1570,"February",17941,1.95,80.06,"Kids A-Z","Suburb","[0.2, 0.4[",""
1570,"February",18090,0.07,1.72,"Minecraft","Suburb","[0.2, 0.4[",""
1570,"February",18904,0.3,34.33,"Instructables","Suburb","[0.2, 0.4[",""
1570,"February",19044,0.07,55.13,"Flipgrid","Suburb","[0.2, 0.4[",""
1570,"February",19334,0.11,4.14,"Enchanted Learning","Suburb","[0.2, 0.4[",""
1570,"February",21298,0.2,10.91,"ExploreLearning Gizmos","Suburb","[0.2, 0.4[",""
1570,"February",22856,0.25,5.01,"Fluency Tutor","Suburb","[0.2, 0.4[",""
1570,"February",23483,0.07,3.87,"Purdue Online Writing Lab","Suburb","[0.2, 0.4[",""
1570,"February",24342,0.07,20.11,"AP Images Collection","Suburb","[0.2, 0.4[",""
1570,"February",24711,0.44,396.44,"Kahoot!","Suburb","[0.2, 0.4[",""
1570,"February",24744,0.09,13.29,"World Book Online","Suburb","[0.2, 0.4[",""
1570,"February",25793,0.07,5.72,"Wix","Suburb","[0.2, 0.4[",""
1570,"February",26372,0.07,2.07,"OverDrive Education","Suburb","[0.2, 0.4[",""
1570,"February",26407,0.11,32.64,"EdOptions Academy","Suburb","[0.2, 0.4[",""
1570,"February",26491,0.07,1.23,"Answers","Suburb","[0.2, 0.4[",""
1570,"February",26512,0.31,85.73,"Multiplication.com","Suburb","[0.2, 0.4[",""
1570,"February",26696,0.28,13.03,"SurveyMonkey","Suburb","[0.2, 0.4[",""
1570,"February",26753,0.09,1.82,"Vimeo","Suburb","[0.2, 0.4[",""
1570,"February",28504,0.28,31.24,"Google Sheets","Suburb","[0.2, 0.4[",""
1570,"February",29286,0.1,4.91,"Socratic","Suburb","[0.2, 0.4[",""
1570,"February",29322,0.23,19.96,"Khan Academy","Suburb","[0.2, 0.4[",""
1570,"February",29790,0.07,3.75,"Hooda Math","Suburb","[0.2, 0.4[",""
1570,"February",29921,0.07,1.02,"Learning A-Z","Suburb","[0.2, 0.4[",""
1570,"February",30851,0.08,1.61,"Google Chrome","Suburb","[0.2, 0.4[",""
1570,"February",31827,0.07,1.39,"Microsoft OneDrive","Suburb","[0.2, 0.4[",""
1570,"February",31956,0.07,2.9,"AP Central","Suburb","[0.2, 0.4[",""
1570,"February",32213,4.7,550.81,"Google Classroom","Suburb","[0.2, 0.4[",""
1570,"February",32340,0.11,18.42,"Education Genius","Suburb","[0.2, 0.4[",""
1570,"February",33185,0.9,63.16,"Google Forms","Suburb","[0.2, 0.4[",""
1570,"February",33326,0.13,8.84,"Ducksters","Suburb","[0.2, 0.4[",""
1570,"February",33562,0.07,4.02,"IXL Language","Suburb","[0.2, 0.4[",""
1570,"February",33624,0.07,5.47,"HowStuffWorks","Suburb","[0.2, 0.4[",""
1570,"February",33946,0.08,1.58,"JSTOR","Suburb","[0.2, 0.4[",""
1570,"February",34887,0.11,13.84,"Naviance","Suburb","[0.2, 0.4[",""
1570,"February",35007,0.07,2.75,"Imagine Learning","Suburb","[0.2, 0.4[",""
1570,"February",35201,0.07,11.66,"Symbolab","Suburb","[0.2, 0.4[",""
1570,"February",35971,0.12,2.76,"Edpuzzle","Suburb","[0.2, 0.4[",""
1570,"February",36102,0.08,3.32,"Little Alchemy","Suburb","[0.2, 0.4[",""
1570,"February",36620,0.07,8.71,"Disney+","Suburb","[0.2, 0.4[",""
1570,"February",36692,0.78,111.63,"Epic! - Unlimited Books for Kids","Suburb","[0.2, 0.4[",""
1570,"February",37017,0.07,2.61,"Pixlr","Suburb","[0.2, 0.4[",""
1570,"February",37153,0.97,140.27,"Zearn","Suburb","[0.2, 0.4[",""
1570,"February",37479,0.07,4.17,"Frontline Education","Suburb","[0.2, 0.4[",""
1570,"February",38871,0.07,2.73,"Google Workspace","Suburb","[0.2, 0.4[",""
1570,"February",39004,0.13,20.44,"TumbleBooks","Suburb","[0.2, 0.4[",""
1570,"February",39841,0.27,15.7,"StudyJams!","Suburb","[0.2, 0.4[",""
1570,"February",40928,0.27,11.23,"Pear Deck","Suburb","[0.2, 0.4[",""
1570,"February",41424,0.07,6.9,"Common App","Suburb","[0.2, 0.4[",""
