"District","Month","lp_id","mean_access","mean_engagement","Product.Name","locale","pct_free.reduced","pp_total_raw"
1570,"Jan-Mar",35007,0.07,1.53,"Imagine Learning","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",36102,0.08,3.36,"Little Alchemy","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",39623,0.06,21.34,"SpanishDict","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",44025,0.06,1.22,"Soundtrap","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",45716,0.11,5.55,"ClassDojo for Students","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",57084,0.35,19.03,"CoolMath Games","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",59434,0.06,1.88,"Seesaw : The Learning Journal","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",75206,0.19,11.07,"IXL","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",93742,1.15,243.51,"TypingClub","Suburb","[0.2, 0.4[",""
1570,"Jan-Mar",95731,4.72,880.18,"Google Docs","Suburb","[0.2, 0.4[",""
1570,"Apr-May",13496,0.43,28.23,"Wikipedia","Suburb","[0.2, 0.4[",""
1570,"Apr-May",15254,0.29,79.91,"MIT App Inventor","Suburb","[0.2, 0.4[",""
1570,"Apr-May",17941,3.34,120.95,"Kids A-Z","Suburb","[0.2, 0.4[",""
1570,"Apr-May",25559,0.05,7.43,"Lexia Core5 Reading","Suburb","[0.2, 0.4[",""
1570,"Apr-May",26881,0.05,0.51,"iStation","Suburb","[0.2, 0.4[",""
1570,"Apr-May",29322,1.5,308.7,"Khan Academy","Suburb","[0.2, 0.4[",""
1570,"Apr-May",32213,22.92,5416.59,"Google Classroom","Suburb","[0.2, 0.4[",""
1570,"Apr-May",33185,2.99,219.22,"Google Forms","Suburb","[0.2, 0.4[",""
1570,"Apr-May",35098,3.85,180.88,"SafeYouTube","Suburb","[0.2, 0.4[",""
1570,"Apr-May",35201,0.06,17.08,"Symbolab","Suburb","[0.2, 0.4[",""
1570,"Apr-May",36102,0.05,2.05,"Little Alchemy","Suburb","[0.2, 0.4[",""
1570,"Apr-May",36620,0.17,59.7,"Disney+","Suburb","[0.2, 0.4[",""
1570,"Apr-May",36692,2.06,433.58,"Epic! - Unlimited Books for Kids","Suburb","[0.2, 0.4[",""
1570,"Apr-May",37153,4.62,701.01,"Zearn","Suburb","[0.2, 0.4[",""
1570,"Apr-May",48708,0.65,45.57,"Storyline Online","Suburb","[0.2, 0.4[",""
1570,"Apr-May",50479,1.8,381.51,"ABCya!","Suburb","[0.2, 0.4[",""
1570,"Apr-May",56218,7.26,239.37,"School Loop","Suburb","[0.2, 0.4[",""
1570,"Apr-May",61945,17.66,1113.68,"Zoom","Suburb","[0.2, 0.4[",""
1570,"Apr-May",64838,1.07,330.04,"Starfall","Suburb","[0.2, 0.4[",""
1570,"Apr-May",64948,2.81,388.48,"Prodigy","Suburb","[0.2, 0.4[",""
1570,"Apr-May",66933,0.62,292.94,"ABCmouse.com","Suburb","[0.2, 0.4[",""
1570,"Apr-May",69863,0.63,25.45,"Chrome Web Store","Suburb","[0.2, 0.4[",""
1570,"Apr-May",72758,0.81,92.42,"Google Calendar","Suburb","[0.2, 0.4[",""
1570,"Apr-May",73323,0.09,6.26,"Turnitin","Suburb","[0.2, 0.4[",""
1570,"Apr-May",76649,6.96,464.12,"Clever","Suburb","[0.2, 0.4[",""
1570,"Apr-May",80560,0.08,27.68,"Nitro Type","Suburb","[0.2, 0.4[",""
1570,"Apr-May",84342,0.05,0.53,"Blindside Networks","Suburb","[0.2, 0.4[",""
1570,"Apr-May",86703,0.61,108.92,"GoNoodle","Suburb","[0.2, 0.4[",""
