"District","Month","lp_id","mean_access","mean_engagement","Product.Name","locale","pct_free.reduced","pp_total_raw"
1324,"Jan-Mar",11406,0.07,2.67,"WyzAnt","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",11585,0.05,1.16,"Think Central","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",11910,0.08,4.81,"Pew Research Center","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",13496,2.31,186.26,"Wikipedia","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",13699,1.13,129.17,"Weebly","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",17920,0.22,20.74,"Interland","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",17941,0.11,3.35,"Kids A-Z","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",18090,0.05,1.86,"Minecraft","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",19184,0.05,0.47,"Savvas EasyBridge","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",20677,0.05,2.03,"remove.bg","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",21298,6.19,833.48,"ExploreLearning Gizmos","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",23644,0.44,32.81,"ThoughtCo","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",23927,0.06,3.94,"GoGuardian","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",24711,3.26,3178.75,"Kahoot!","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",26491,0.11,7.76,"Answers","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",26512,0.07,3.39,"Multiplication.com","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",28456,0.05,4.45,"SmartMusic","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",28504,2.94,508.4,"Google Sheets","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",28633,0.65,14.04,"Discovery Education","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",29286,0.16,5.1,"Socratic","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",32213,45.93,14860,"Google Classroom","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",33185,25.33,3875.4,"Google Forms","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",33562,6.53,416.44,"IXL Language","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",35007,0.05,1.16,"Imagine Learning","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",35201,0.15,18.17,"Symbolab","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",39623,0.26,45.44,"SpanishDict","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",41424,0.07,8.97,"Common App","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",42410,0.14,17.07,"Conjuguemos","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",42725,0.05,0.47,"myLexia","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",44025,0.05,0.93,"Soundtrap","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",45005,0.12,10.87,"GitHub","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",45716,0.05,0.62,"ClassDojo for Students","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",48010,0.09,0.93,"GCN Training","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",48625,0.05,0.46,"CultureGrams","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",50479,0.17,17.45,"ABCya!","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",50580,8.82,329.16,"Securly Anywhere Filter","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",50762,0.09,57.2,"Internet Archive","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",53775,1.3,206.05,"Google Play Music","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",56218,0.05,1.86,"School Loop","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",57949,0.31,58.96,"Mathway","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",59434,0.05,1.86,"Seesaw : The Learning Journal","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",61441,14.39,600.58,"i-Ready","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",63335,0.07,5.47,"Math Games (MathGames)","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",64947,2.7,274.14,"Desmos","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",64948,1.39,90.89,"Prodigy","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",64998,0.05,1.87,"ST Math","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",65131,0.05,0.93,"Amplify","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",68490,0.51,13.5,"Wikimedia Commons","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",68713,3.47,353.16,"Discovery Education Math Techbook","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",69827,6.34,769.62,"Google Sites","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",69863,1.12,59.78,"Chrome Web Store","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",74653,0.23,63.63,"Studies Weekly","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",75206,2.02,170.96,"IXL","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",76649,20.48,1437.76,"Clever","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",77430,0.05,0.93,"Instructure","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",78063,0.24,3.3,"ClassLink","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",80560,0.05,0.93,"Nitro Type","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",80616,1.92,158.59,"IXL Math","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",80972,1.59,177.63,"ExploreLearning","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",81127,0.13,5,"NASA's Space Place","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",81654,0.06,1.12,"Tinkercad","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",82101,0.14,6.47,"Time","Rural","[0.4, 0.6[","[8000, 10000["
1324,"Jan-Mar",84342,0.14,2.77,"Blindside Networks","Rural","[0.4, 0.6[","[8000, 10000["
