"District","Month","lp_id","mean_access","mean_engagement","Product.Name","locale","pct_free.reduced","pp_total_raw"
1324,"January",10533,0.11,3.15,"Scholastic","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",10650,0.22,5.65,"Library of Congress","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",10745,0.1,2.11,"Wonderopolis","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",11069,0.56,23.84,"Mr. Donn","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",11206,0.15,1.96,"Google Earth","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",11237,0.08,3.05,"online-stopwatch.com","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",11286,0.11,3.54,"ABC News","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",11406,0.07,2.77,"WyzAnt","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",12803,0.1,1.55,"SlideShare","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",13117,0.05,1.1,"SplashLearn","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",13496,2.38,105.07,"Wikipedia","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",13699,0.95,49.37,"Weebly","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",14124,0.08,1.35,"Tumblr","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",14168,0.37,18.75,"Dictionary.com","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",14769,3.07,182.4,"Vocabulary Spelling City","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",15225,0.15,4.71,"Dictionary - Merriam-Webster","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",15254,0.52,35.62,"MIT App Inventor","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",16164,0.87,34.82,"nytimes.com","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",16401,1.32,228.92,"PBS","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",16406,0.18,64.98,"Google Translate","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",16468,0.21,9.24,"National Archives","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",16633,1.03,35.58,"CNN Student News","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",16753,0.44,39.23,"Flocabulary","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",17920,0.75,63.97,"Interland","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",17941,0.09,2,"Kids A-Z","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",18663,0.06,0.66,"AdaptedMind","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",18904,0.06,1.19,"Instructables","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",19044,0.39,92.31,"Flipgrid","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",19184,0.05,0.47,"Savvas EasyBridge","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",19334,0.05,1.13,"Enchanted Learning","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",20594,0.56,37.43,"Quill","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",20677,0.05,2.03,"remove.bg","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",21917,0.05,1.88,"Google Voice","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",22741,0.05,0.47,"TES","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",22856,0.19,5.62,"Fluency Tutor","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",23483,0.35,20.21,"Purdue Online Writing Lab","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",24120,1.55,145.18,"Edulastic","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",24342,0.05,4.23,"AP Images Collection","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",24711,4.73,4032.04,"Kahoot!","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",25267,1.69,108.84,"Discovery Education - Science TechBook","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",25793,0.08,2.76,"Wix","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",26372,0.07,2.91,"OverDrive Education","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",26491,0.1,6.67,"Answers","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",26512,0.07,3.08,"Multiplication.com","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",26533,0.07,1.33,"Screencastify","Rural","[0.4, 0.6[","[8000, 10000["
1324,"January",26696,0.08,2.81,"SurveyMonkey","Rural","[0.4, 0.6[","[8000, 10000["
